# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2932
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2932
DATA ascii
0.52040386 -0.75501549 -2.58320475
0.56384701 -0.79791486 -2.62842631
0.43160453 -0.92078018 -2.68430781
0.06662712 -1.09550714 -2.73041606
0.08677604 -1.13944316 -2.75832677
-0.13164082 -1.23300803 -2.80462956
-0.25707000 -1.40611649 -2.94856548
-0.31816876 -1.07881951 -2.77281809
-0.20149824 -0.99673450 -2.68824887
-0.60443515 -0.85491383 -2.74235010
-0.44439697 -1.13927948 -2.85980225
-0.73290819 -0.64745772 -2.66373730
-0.69668692 -0.65802968 -2.65447116
1.01180041 -0.36810255 -2.36122775
0.66981053 -0.49911290 -2.35106850
0.69382954 -0.53688705 -2.39844346
0.33634833 -0.80654281 -2.54647374
0.12975729 -0.93044561 -2.62443304
0.07480994 -0.69576645 -2.42032027
0.16920723 -0.70154732 -2.43068218
0.06679396 -0.88329518 -2.57152057
-0.26793960 -0.83981335 -2.59592271
-0.33935285 -0.86497712 -2.64082289
-0.44521555 -0.49753356 -2.36510134
-0.20295323 -0.58653915 -2.36789227
-0.78083187 -0.38676828 -2.47466922
-0.91200358 -0.39081758 -2.57754993
-0.88892007 -0.34296542 -2.51379871
-0.96953428 -0.26734799 -2.48726583
-0.63083237 -0.39547935 -2.36097264
1.00148726 -0.23197177 -2.10319924
0.90907800 -0.32108650 -2.21839285
0.69287634 -0.44648555 -2.30452609
0.72105998 -0.23262107 -1.99430478
0.66926664 -0.34441605 -2.12582874
0.57705569 -0.41763911 -2.19079947
0.33827817 -0.52814585 -2.28205323
0.20026021 -0.50294340 -2.23381519
0.21476184 -0.45770800 -2.18217182
-0.03945562 -0.53949308 -2.26213503
0.14627565 -0.38812599 -2.10388494
-0.13942939 -0.44571158 -2.19994593
-0.34718400 -0.42177904 -2.25166225
-0.49339369 -0.20416069 -2.03977418
-0.18391077 -0.28085387 -2.03201985
-0.47559884 -0.20218329 -2.03163242
-0.94545758 -0.13556203 -2.29819870
-0.66197783 -0.32623243 -2.29857850
-0.54737437 -0.43423620 -2.33872890
-0.90855372 -0.05264851 -2.13824344
-0.84433305 -0.03223856 -2.03297782
-0.90566993 -0.02823730 -2.08828044
0.87858045 -0.12714694 -1.83540964
1.09311128 -0.06582423 -1.83378482
1.04537773 -0.06991620 -1.80910587
0.72828716 -0.13545659 -1.80242062
0.68221015 -0.07328875 -1.67997742
0.98655558 -0.02677792 -1.69480658
0.39075705 -0.21921360 -1.88782585
0.32387167 -0.22740649 -1.89695764
0.45134035 -0.24045075 -1.92779863
0.49242681 -0.09038863 -1.68207526
0.02034411 -0.13244039 -1.74469078
-0.07234459 -0.26101580 -1.96264482
-0.45339802 -0.18393253 -1.99826181
-0.06983478 -0.19390389 -1.86318493
-0.44762272 -0.13776878 -1.92649305
-0.46102691 -0.02324688 -1.73692977
-1.00895166 0.11526044 -1.93154478
-0.64358914 -0.07690121 -1.92610121
-0.75829470 0.01254606 -1.87840617
-1.07550120 0.22268541 -1.72615719
-0.87256366 0.10278916 -1.82556880
-0.94576937 0.15345620 -1.76979864
0.87146986 0.02997512 -1.49335563
1.07294571 0.09522126 -1.40564036
0.85821247 0.05312388 -1.42746472
0.92759895 0.09418652 -1.34886444
0.49184069 -0.00106820 -1.49038219
0.40803048 -0.06570455 -1.64186943
0.35710829 0.02648240 -1.42410266
0.13202399 0.00743348 -1.47765803
0.38814554 0.08438805 -1.29982352
-0.08249733 0.07382332 -1.38826883
-0.20876819 0.00690279 -1.58218241
-0.12184441 -0.03016547 -1.62203717
-0.06605873 0.11147393 -1.29666364
-0.51217842 0.08368294 -1.54124188
-0.58428234 0.15458800 -1.41721046
-0.66846633 0.15874805 -1.48589659
-0.70447868 0.18976662 -1.44918573
-1.03170717 0.28121820 -1.52272069
-0.69051099 0.23688233 -1.29956436
0.87338746 0.15683892 -1.15011537
0.81348175 0.17824361 -1.04963386
0.81578267 0.17885330 -1.04833472
0.59940898 0.21232428 -0.90264094
0.72797221 0.17253914 -1.04482126
0.48571348 0.15394017 -1.07790196
0.31997362 0.14941837 -1.10617256
0.38134006 0.18164510 -0.99589568
0.04323727 0.21136309 -0.95141166
0.19070596 0.15458719 -1.10258782
-0.03402342 0.20104685 -1.01485789
0.00848013 0.18440348 -1.04419112
-0.32866663 0.26987976 -0.92535144
-0.22646552 0.21766816 -1.05694723
-0.53735840 0.27007172 -1.05832088
-0.50653100 0.24795617 -1.09536672
-0.93654019 0.33410293 -1.23581386
-0.83238584 0.35196611 -1.06466842
-0.86999261 0.37637034 -0.99729437
0.65425086 0.28779757 -0.63734406
0.62358564 0.27849987 -0.66607809
0.64407134 0.30888310 -0.55591488
0.46993747 0.33170485 -0.43879157
0.21586969 0.27883232 -0.65471786
0.32572562 0.22215630 -0.87758237
0.13820368 0.29451513 -0.60257375
-0.20445067 0.29584485 -0.75211287
-0.05231225 0.31283292 -0.59173656
-0.36595136 0.30383137 -0.81020546
-0.39133143 0.33952239 -0.68411487
-0.81487119 0.39591736 -0.85317647
-0.42845371 0.32816267 -0.76012766
-0.53115082 0.41930029 -0.50103545
-0.65466714 0.40109438 -0.68743432
0.48289636 0.33945629 -0.41281474
0.44918597 0.33580020 -0.42133850
0.10509113 0.41922092 -0.05242400
0.14369267 0.38571051 -0.17255667
0.03459095 0.35281247 -0.34751579
0.00500791 0.38768852 -0.15915304
-0.23678108 0.37176448 -0.42296770
-0.25192198 0.41320240 -0.27156913
-0.11427908 0.46584949 -0.02060740
1.57952774 -0.68704605 2.66656470
