# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2959
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2959
DATA ascii
-1.71890473 3.07842422 0.03525539
-1.57512999 3.00063443 0.01557502
-1.72713542 3.05865788 0.01845891
-1.51202071 2.97658992 -0.01447953
-4.82246208 2.82534575 -0.51946998
-4.94827890 2.70220590 -0.40565783
-4.66194487 3.01754332 -0.76903135
-4.82010078 2.83646560 -0.54780018
-4.79732943 2.87152433 -0.60637712
-4.75680590 2.87048817 -0.52201748
-5.29274654 2.35511303 -0.06276306
-4.91428089 2.66306973 -0.12183703
-5.08787394 2.50869393 -0.01628727
-4.95608568 2.62534595 -0.09189825
-4.89968491 2.67390585 -0.11298551
-4.93229342 2.64306259 -0.07791077
-5.23543167 2.44268060 0.19257900
-5.26742935 2.39375067 0.13498932
-4.94713879 2.68584967 0.27920789
-4.87866735 2.72762775 0.23648208
-5.06941175 2.55135083 0.11640977
-5.02923918 2.61598349 0.25150532
-5.16438723 2.54096389 0.32230514
-4.98656511 2.69940162 0.40500593
-4.90496588 2.75282955 0.39415121
-4.94488573 2.80936575 0.60878080
-4.87744427 2.80200958 0.46938384
-4.84016466 2.89536357 0.63847148
-4.70868063 3.08381128 0.87044805
-4.80417538 2.95135427 0.71310282
-4.70228767 2.92616582 -0.58197308
-4.31035042 3.25696397 -1.04015696
-4.43401670 3.13737822 -0.86876380
-4.54196501 3.05435324 -0.75682646
-4.50219154 2.99478292 -0.55962312
-4.34716034 3.15034080 -0.79312325
-4.39143801 3.08762360 -0.67446178
-4.52457666 2.97091937 -0.52192199
-4.49994040 3.00641942 -0.58966231
-4.58012819 2.94550705 -0.52443635
-4.36184406 3.09584332 -0.65801001
-4.58878851 2.88726044 -0.32798380
-4.86140680 2.69297361 -0.08050210
-4.46740103 2.97553444 -0.44698930
-4.86782503 2.69185996 -0.09194881
-4.48960876 2.93733764 -0.24431749
-4.47974491 2.95001149 -0.30194896
-4.67663527 2.79822421 -0.03656262
-4.50243759 2.94665194 -0.39496511
-4.55693674 2.89771700 -0.26098943
-4.51870203 2.92009163 -0.25042570
-4.65728235 2.81716108 -0.09777845
-4.74515438 2.80384088 0.20371711
-4.67004061 2.81165862 0.06266411
-4.63274431 2.82754779 0.03543786
-4.57708740 2.88078284 0.10006461
-4.66443634 2.86765170 0.26853856
-4.64055252 2.86425972 0.18556149
-4.69202566 2.85160995 0.26376367
-4.55958700 2.92478895 0.26738876
-4.64520550 2.87672162 0.26121911
-4.59745407 2.90108967 0.25235862
-4.70068407 2.95054483 0.56218874
-4.58614683 2.97935057 0.51721942
-4.59930706 3.15168214 0.86362404
-4.44198751 3.05684924 0.54074872
-4.59705305 3.12032652 0.80072010
-4.60167885 2.98528528 0.54243684
-4.65086794 3.10428262 0.81697261
-4.38145876 3.21813321 0.84356141
-4.43793869 3.28031087 1.01355481
-4.49433756 3.16584134 0.80559623
-4.40482950 3.15474939 0.72326595
-4.42529964 3.18780994 0.80739331
-4.26757908 3.15552807 -0.76477319
-4.29736757 3.12250328 -0.69864970
-4.14082384 3.27715993 -1.00466263
-4.02349234 3.31377172 -1.05992007
-4.25434303 3.19659328 -0.85209227
-4.07733393 3.17382574 -0.65914404
-4.20856667 3.11540198 -0.60553986
-3.98078108 3.27699590 -0.89801902
-4.10619354 3.16008806 -0.64440787
-4.08839417 3.21936178 -0.82183522
-4.17672157 3.14436984 -0.66755849
-4.07497168 3.21769619 -0.80199635
-4.23940992 3.05785275 -0.35792288
-4.35468960 3.03148365 -0.45733029
-4.14399624 3.11085224 -0.48544469
-4.07530546 3.14414573 -0.54452825
-4.05699778 3.14939284 -0.53587222
-4.05400705 3.14353776 -0.47680593
-4.22536135 3.04657221 -0.21991971
-4.23574686 3.03689957 -0.16417858
-4.25136805 3.01822925 -0.03672320
-4.41562796 2.95075107 -0.06005149
-4.20742846 3.05300570 -0.20749372
-4.07238865 3.11344123 -0.24081823
-4.13880348 3.07916069 0.07209949
-4.18656731 3.05646086 0.06217266
-4.34425879 3.03482580 0.28480926
-4.43640709 2.95353818 0.08601299
-4.38293791 2.99286795 0.16381349
-4.23571491 3.02370572 0.00692955
-4.11058426 3.13316655 0.34082866
-4.19106150 3.12951565 0.50679004
-4.34204674 3.06001425 0.40154231
-4.05485153 3.14913201 0.31524706
-4.12187386 3.14851928 0.46960700
-4.19101286 3.11617398 0.41795832
-4.33192921 3.16202092 0.69167995
-4.25645113 3.26182079 0.85623497
-4.31273937 3.16926312 0.69484407
-4.33646393 3.23072791 0.84113240
-4.15991402 3.28404403 0.84184140
-4.25175858 3.24905419 0.82600063
-4.22688770 3.26831079 0.85115367
-3.99374056 3.39677167 1.06518912
-4.24080992 3.39244509 1.13079703
-3.96715784 3.44850349 1.19008803
-4.01018715 3.30688763 0.83893669
-4.10515213 3.36136651 1.00866318
-4.03446102 3.25474143 0.71225333
-3.74562573 3.33725905 -1.01544344
-3.92713785 3.29124808 -0.89900112
-3.89855957 3.24468279 -0.76360297
-3.75326943 3.35534716 -1.06775272
-3.83384347 3.38207841 -1.15078354
-3.80259299 3.32720590 -0.99143267
-3.57651997 3.28496528 -0.69860911
-3.71548390 3.29563689 -0.85497081
-3.53586316 3.37159300 -1.03330135
-3.85651493 3.22305107 -0.66006613
-3.61626792 3.33502126 -0.94257557
-3.83907986 3.21494079 -0.61174500
-3.55777407 3.39200974 -1.13736749
-3.96208358 3.18073130 -0.53256381
-3.83414364 3.19944763 -0.47340137
-3.88766313 3.19304848 -0.51105696
-3.91928220 3.19124389 -0.55114073
-3.72730184 3.23275399 -0.58353990
-3.82171059 3.21601701 -0.60078508
-3.66214848 3.20238924 -0.01665807
-3.71929812 3.20292568 -0.22647199
-3.70290208 3.20473838 -0.19394928
-3.62917495 3.21484590 -0.07524276
-3.61322284 3.23251891 -0.26746410
-3.89130545 3.14711952 -0.04997951
-3.83629179 3.16782999 -0.14669773
-3.87859154 3.19920206 0.32536897
-3.94064522 3.18158221 0.31340384
-4.00064564 3.14450121 0.17199175
-3.95497131 3.18750930 0.37538588
-3.95825338 3.15033126 0.13995814
-3.72761989 3.19105363 0.02400518
-3.95174718 3.14168954 0.07326446
-3.73403382 3.23250270 0.36084840
-3.82425737 3.21545029 0.35679942
-3.62990665 3.22831941 0.14195143
-3.62168646 3.27551103 0.56989467
-3.76509500 3.22153521 0.31170219
-3.61414766 3.22375655 0.07200450
-3.87664461 3.21925402 0.48284626
-3.68575311 3.29234529 0.65939111
-3.66363883 3.27611804 0.60693115
-3.85971403 3.25693798 0.64512563
-3.97191238 3.24466825 0.66359228
-3.68912530 3.28010654 0.62886685
-3.79140663 3.38891053 0.95987099
-3.87076950 3.30164099 0.76715767
-3.66330218 3.35849118 0.84936327
-3.75912380 3.42100000 1.06129372
-3.68480110 3.36491227 0.87127638
-3.62237501 3.40619898 1.00971222
-3.70778275 3.46570802 1.21140110
-3.69600511 3.40557981 1.00852847
-3.26400375 3.40162373 -1.17978394
-3.41203880 3.39411044 -1.13394761
-3.56397700 3.27143979 -0.64379436
-3.26520967 3.39595032 -1.15777802
-3.38408113 3.40554237 -1.18119895
-3.51109648 3.28858256 -0.71589881
-3.18879461 3.29009366 -0.60184836
-3.36621284 3.28305721 -0.63318288
-3.19563246 3.33997345 -0.89502770
-3.14245129 3.35688639 -0.97181910
-3.51885414 3.27059865 -0.62285382
-3.43741345 3.30145931 -0.76933217
-3.41369939 3.25427532 -0.34551543
-3.45396733 3.24767256 -0.29348263
-3.42567348 3.26714253 -0.51654834
-3.34986186 3.27594519 -0.56887835
-3.43348718 3.27049470 -0.56472087
-3.37991953 3.26770163 -0.48835137
-3.34514689 3.25051332 -0.18422587
-3.18023109 3.27443719 -0.33508056
-3.25426698 3.25253510 -0.04782200
-3.37269664 3.25238061 -0.27434888
-3.40790653 3.23735857 -0.04714780
-3.17914701 3.28136230 -0.46917686
-3.32398725 3.24900293 0.03412554
-3.58814216 3.22815847 0.08199055
-3.33772278 3.25015521 0.05723712
-3.57533383 3.27450252 0.49775660
-3.54574871 3.22545934 0.01856451
-3.52192998 3.27828407 0.48409045
-3.36472178 3.28721333 0.50940454
-3.33221364 3.26725864 0.21524993
-3.30513120 3.28273797 0.41107881
-3.35577488 3.27054477 0.27495423
-3.24002481 3.28172636 0.35690692
-3.43173242 3.28826833 0.56534684
-3.36369324 3.36493397 0.82349151
-3.37998486 3.36201572 0.81709939
-3.30045700 3.35483670 0.77491546
-3.48763752 3.29575467 0.61393899
