# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2013
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2013
DATA ascii
0.78293866 0.90316784 -2.29090595
0.75046152 1.23229325 -1.76741624
0.78402454 0.92343968 -2.43404245
0.77314478 1.04330802 -2.29728198
0.74931562 1.23642457 -1.71889293
0.78949362 0.90483302 -2.55865932
0.76236874 1.11158741 -1.94876516
0.78898245 0.92784482 -2.5935123
0.80157894 0.74379522 -2.66330051
0.77423155 0.99310362 -2.14746022
0.81099564 0.65596128 -2.82232642
0.81332523 0.62011647 -2.88433886
0.76344109 0.79045916 -2.82363296
0.81025875 0.62571621 -2.88564444
0.68598562 0.5257225 -2.95518112
0.67294139 0.58528203 -2.93713808
0.60374445 0.69576943 -2.85878968
0.22716606 0.93799144 -2.3772819
0.40237424 0.72992957 -2.59806919
0.4706175 0.74142444 -2.70097995
0.30130309 0.9247089 -2.48037171
0.18897764 1.00297189 -2.24745536
0.75640363 1.15541101 -1.89478672
0.78760183 0.94513005 -2.58313394
0.76170033 1.05556309 -2.41424966
0.75866258 1.07213724 -2.36026788
0.7640512 1.04535782 -2.43057132
0.72317177 0.84573209 -2.84337926
0.68288451 0.97675717 -2.6696322
0.70422745 1.00721729 -2.58486199
0.56102556 0.85899246 -2.78692508
0.63352537 0.94447362 -2.78944087
0.49359837 1.10490334 -2.54677892
0.49135113 1.09400237 -2.55274343
0.13316607 1.07976007 -2.0979445
0.21236849 1.03569031 -2.24731159
0.25922203 0.99698067 -2.33688593
-0.09463719 1.22884393 -1.58056951
0.72426438 1.24967372 -1.60205257
0.68374872 1.2651577 -1.70417917
0.70977318 1.240574 -1.50050211
0.61429346 1.20540369 -2.20905113
0.54235208 1.2399857 -2.16879511
0.53909647 1.21877289 -2.25117731
0.36864287 1.19049799 -2.27976489
0.43619633 1.14348173 -2.43567777
0.1320053 1.25324392 -1.93944871
0.33860433 1.23122728 -2.16571164
0.08499286 1.255494 -1.85603094
-0.03771313 1.27686369 -1.604442
0.69235319 1.27870476 -0.91693068
0.62398875 1.26453936 -1.01870239
0.60788453 1.29786372 -1.48217988
0.57705468 1.30239272 -1.63393569
0.55076641 1.30160463 -1.6401161
0.34747916 1.32081664 -1.63522899
0.50411952 1.30836046 -1.54326475
0.50261259 1.30511022 -1.60145378
0.33322626 1.31408978 -1.71797287
0.29885739 1.30874145 -1.73226857
0.14340131 1.30856037 -1.55220342
0.19846851 1.31033719 -1.60070801
-0.10442656 1.29935336 -1.35544229
-0.18844076 1.31167269 -1.11262548
0.5762949 1.29059029 -1.19829321
0.5329572 1.25324309 -0.97529268
0.53329712 1.28129947 -1.15658486
0.40451822 1.30849946 -1.44898677
0.48453015 1.28682792 -1.19718969
0.26013699 1.28430164 -1.19026029
0.40274042 1.26694751 -1.04314637
0.186903 1.30952001 -1.47098136
0.176128 1.28724015 -1.21639562
0.04687341 1.27026486 -1.02957416
0.18885157 1.27701151 -1.10326707
-0.02968176 1.29775453 -1.26791549
-0.12922308 1.29211926 -1.02842486
-0.13941379 1.26123571 -0.81312323
