# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2434
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2434
DATA ascii
-0.70297128 1.91479719 0.01795544
-0.54693562 1.9838053 0.04963303
-0.63242352 1.89429545 0.01929612
-0.23703201 1.9170233 0.06123469
-0.09411381 1.57928443 -0.01056794
0.11704039 1.69001341 0.03698
0.09196214 1.69952559 0.03705591
0.03632254 1.64938688 0.01894318
0.21874475 1.59580815 0.02196598
0.1753847 1.47400475 -0.01233011
1.3490901 1.19783461 0.0255427
1.46185684 1.38376081 0.08286423
1.15831745 1.21658909 0.01289049
1.41553843 1.25939453 0.04736201
1.39806211 1.30686998 0.05767086
1.30899096 1.36025476 0.06278142
0.97074646 1.22042859 -0.00323489
1.1734972 1.37712598 0.05462895
1.08274901 1.48665559 0.07394465
0.91318387 1.19001269 -0.01624428
0.83914053 1.21674645 -0.01588549
0.84053957 1.31436777 0.00819759
0.80586869 1.24693131 -0.01176258
0.75496435 1.52909291 0.05493613
0.65155071 1.31671381 -0.00872248
0.54976314 1.43895161 0.0132034
0.40629742 1.5610677 0.03077023
-0.65344322 2.80032015 0.05879781
-0.56775993 2.77117872 0.05916984
-0.27979171 2.65818644 0.05752539
-0.42537856 2.58342838 0.02508926
-0.0449868 2.57386827 0.05773752
0.06010339 2.3993125 0.02298445
0.28235021 2.46836066 0.06071378
0.29861495 2.31420851 0.02374394
0.19514973 2.29637814 0.0099216
0.27207327 2.13762093 -0.02313573
0.5518356 2.26212239 0.03391218
0.56908059 2.24024057 0.02995459
0.49584913 2.10455012 -0.01068695
1.7919569 1.9987489 0.08124999
1.26869214 1.8740809 0.00186639
1.44652593 1.99710894 0.04903165
1.47038865 2.07819414 0.07172029
1.2579031 1.96664464 0.02424962
1.30272114 1.98545754 0.03324565
1.09855807 1.93408024 0.00102239
0.95100307 1.97217798 -0.0023192
0.98119354 2.10914493 0.03476778
1.15023804 2.18739772 0.06954853
0.87388647 1.87566221 -0.03397456
0.85794836 1.9508543 -0.01662089
0.77466649 2.04429221 -0.00025633
0.76993454 2.08440232 0.00918419
0.74984074 2.17655277 0.03006217
0.61845237 2.00331855 -0.02505035
0.64123321 2.10764742 0.00299702
-0.37226269 3.53044868 0.09091657
-0.04415834 3.32449746 0.06876052
-0.18950738 3.23580384 0.03329969
-0.09952649 3.0748837 0.00061536
0.04332729 3.0508604 0.00813676
0.25275812 3.27563715 0.08331765
0.41363779 2.9716742 0.02204498
0.47408652 2.98691082 0.03135497
0.51646525 2.87837481 0.00758418
0.38672674 2.88088393 -0.00363593
0.57142317 2.88165307 0.01341732
0.76903319 2.77669978 0.00506874
2.22299886 2.56972051 0.08608448
2.00986028 2.59806347 0.07381412
1.69268239 2.76215005 0.08658417
1.28062117 2.46313596 -0.02676707
1.25663805 2.51259255 -0.01672738
1.32813334 2.60987234 0.01505845
1.21174622 2.59927154 0.0016488
1.35207713 2.74693203 0.05092103
1.16409099 2.74800467 0.03425416
0.81633925 2.70926046 -0.00694919
-0.1529991 3.90834022 0.0360962
0.14383581 3.97056746 0.07906615
0.00678076 3.98076725 0.06911545
0.33805311 3.87071705 0.07154766
