# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 2286
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 2286
DATA ascii
-2.92291665 2.19975567 3.31082606
-2.70672774 1.61861467 3.56169653
-2.78714228 2.1381855 3.28995132
-2.74418974 1.82015991 3.45872307
-2.66023374 1.48273599 3.62314415
-2.57645679 1.37760949 3.66452312
-2.61082077 1.61284113 3.53618574
-2.56741428 1.38404298 3.65961266
-2.57755947 1.61441743 3.53062725
-2.50866127 1.52962446 3.56896091
-2.60428214 1.45982528 3.62188649
-2.51088762 1.37274432 3.6726377
-2.53670359 1.2685467 3.74399495
-2.41563201 1.5980525 3.52984834
-2.36764836 1.60745215 3.53345609
-2.33299994 1.66719675 3.49322486
-2.18094587 1.63226056 3.54431963
-2.32004976 1.42819238 3.6784153
-1.86613131 1.72349405 3.5464704
-2.12525582 1.54889524 3.62563229
-1.76965034 1.68185592 3.61415792
-1.96538901 1.70299983 3.53453302
-2.07127523 1.51922917 3.66930628
-1.94330645 1.73847651 3.50920987
-1.59636402 1.74664259 3.60928512
-1.31860328 1.93464184 3.52991796
-2.60462976 2.13847947 3.18583512
-2.55741596 1.87852478 3.37341285
-2.35629845 2.11722159 3.13845062
-2.49396372 2.14414763 3.14996123
-2.35671043 1.92323744 3.2823379
-2.29724503 2.05498147 3.17108727
-2.2325542 1.79160535 3.40099359
-2.16761065 1.91615498 3.29562449
-2.30010843 1.72173846 3.45469379
-2.18172383 1.85997748 3.345788
-2.18100262 1.78894913 3.4124372
-2.06390119 1.86362994 3.36109018
-1.85295308 1.99654055 3.24435163
-2.07935476 1.93678093 3.28698349
-2.03421974 1.96758282 3.25964832
-1.98940325 1.83593166 3.39429355
-1.83736384 2.02365494 3.21848011
-1.52750897 1.94188809 3.43168044
-1.76811719 1.8166101 3.49157715
-1.58092988 1.92934012 3.42361784
-1.30581987 1.9699986 3.49866414
-1.65854752 1.95128834 3.35568595
-1.78061604 1.95380759 3.29362082
-1.57055771 2.02565694 3.2906065
-1.35192168 2.02542686 3.38688564
-1.20567119 2.03337526 3.43696451
-1.24918127 2.06141925 3.36830473
-1.37449396 1.99884295 3.42398643
-2.12625265 2.0770154 3.14268613
-1.97804809 2.25525522 2.93649936
-1.92860842 2.06114578 3.17267156
-2.01790953 2.19234657 3.00995851
-1.85470665 2.06729198 3.16935539
-1.67747688 2.225811 2.96263504
-1.74014485 2.22875333 2.96238303
-1.54565167 2.233289 2.94513297
-1.68160462 2.22570848 2.9630096
-1.73383582 2.28618336 2.88624501
-1.86920714 2.32863474 2.83807659
-1.28447628 2.16071749 3.17515063
-1.54973185 2.0713098 3.2185719
-1.21594381 2.12478113 3.27063751
-1.25966096 2.14860606 3.20809746
-1.31836736 2.20219874 3.08507538
-1.32038617 2.20621228 3.07692146
-1.53485262 2.12908292 3.12077856
-1.07943261 2.21319056 3.15052867
-0.95154738 2.25885463 3.07184958
-1.19239128 2.231709 3.068681
-1.0105598 2.18300629 3.24901652
